,LC,precision,recall,f1-score,support
control,LC31,0.4555560647496131,0.529428908175292,0.4895699484956092,305.6
macro avg,LC31,0.5230495258815094,0.5234451274043542,0.5204941166671331,706.4
weighted avg,LC31,0.5321454537272989,0.5226520709537567,0.5246683431573669,706.4
accuracy,LC32,0.5486963629588374,0.5486963629588374,0.5486963629588374,0.5486963629588374
case,LC32,0.6190167704702892,0.5314501246882793,0.5716558782873203,400.8
control,LC32,0.4820877954017158,0.5713232615450552,0.5227236426358166,305.6
macro avg,LC32,0.5505522829360026,0.5513866931166673,0.5471897604615684,706.4
weighted avg,LC32,0.5597798346927663,0.5486963629588374,0.5504856015727319,706.4
accuracy,LC33,0.5639837961942693,0.5639837961942693,0.5639837961942693,0.5639837961942693
case,LC33,0.6287229449220252,0.565859102244389,0.5953894168299592,400.8
control,LC33,0.4966125949865884,0.5614979106396657,0.5268272637627036,305.6
macro avg,LC33,0.5626677699543068,0.5636785064420273,0.5611083402963314,706.4
weighted avg,LC33,0.5715691392002109,0.5639837961942693,0.5657336285054401,706.4
accuracy,LC34,0.5523854935068577,0.5523854935068577,0.5523854935068577,0.5523854935068577
case,LC34,0.6140008192524322,0.5673802992518703,0.5896667681681729,400.8
control,LC34,0.4846126473704489,0.5327075966998821,0.5074208785942599,305.6
macro avg,LC34,0.5493067333114405,0.5500439479758763,0.5485438233812163,706.4
weighted avg,LC34,0.5580262310519626,0.5523854935068577,0.5540888493865651,706.4
accuracy,LC35,0.5588934611793839,0.5588934611793839,0.5588934611793839,0.5588934611793839
case,LC35,0.6186640417064038,0.5818316708229426,0.5993764602747536,400.8
control,LC35,0.4906093579039862,0.528816029143898,0.5086350764220561,305.6
macro avg,LC35,0.5546366998051949,0.5553238499834203,0.5540057683484048,706.4
weighted avg,LC35,0.5632661786453188,0.5588934611793839,0.560119214970658,706.4
accuracy,LC36,0.5518137123303589,0.5518137123303589,0.5518137123303589,0.5518137123303589
case,LC36,0.6142520699223768,0.5648703241895262,0.5885100962288685,400.8
control,LC36,0.4836953479758839,0.5346919532840458,0.5078989189905908,305.6
macro avg,LC36,0.5489737089491303,0.549781138736786,0.5482045076097296,706.4
weighted avg,LC36,0.5577718536448882,0.5518137123303588,0.5536362912301522,706.4
accuracy,LC37,0.5438817009989141,0.5438817009989141,0.5438817009989141,0.5438817009989141
case,LC37,0.6045363802200626,0.5668690773067332,0.5850159648500737,400.8
control,LC37,0.4750083184496428,0.5137297760634307,0.4935188234213862,305.6
macro avg,LC37,0.5397723493348527,0.540299426685082,0.53926739413573,706.4
