,,train,train,train,train,test,test,test,test
,,precision,recall,f1-score,support,precision,recall,f1-score,support
,LC,,,,,,,,
accuracy,LC3,0.6234141117027001,0.6234141117027001,0.6234141117027001,0.6234141117027001,0.5044960921431509,0.5044960921431509,0.5044960921431509,0.5044960921431509
case,LC3,0.6936378924125852,0.602637125748503,0.6445675344111927,500.8,0.5724355510725104,0.491936507936508,0.528892893177527,125.2
control,LC3,0.5556798216783879,0.6506103645783494,0.5990813361548909,382.4,0.4399696441769612,0.520877192982456,0.4768315159272955,95.6
macro avg,LC3,0.6246588570454866,0.6266237451634262,0.6218244352830419,883.2,0.5062025976247359,0.5064068504594821,0.5028622045524112,220.8
weighted avg,LC3,0.6339051489482211,0.6234141117027001,0.6248758187559758,883.2,0.5150899378349485,0.5044960921431509,0.5063706285357585,220.8
accuracy,LC4,0.6372270591309962,0.6372270591309962,0.6372270591309962,0.6372270591309962,0.5543521184697655,0.5543521184697655,0.5543521184697655,0.5543521184697655
case,LC4,0.6902313361284353,0.6569532934131737,0.6718372056056278,500.8,0.6147023723618897,0.5768253968253968,0.5928530856690258,125.2
control,LC4,0.5777230326509764,0.6114636446898964,0.5922308182048195,382.4,0.4871638833995601,0.5249122807017544,0.5023115067396591,95.6
macro avg,LC4,0.6339771843897057,0.6342084690515352,0.6320340119052236,883.2,0.550933127880725,0.5508688387635756,0.5475822962043424,220.8
weighted avg,LC4,0.6415267765483847,0.6372270591309962,0.63735883455603,883.2,0.5594890815759268,0.5543521184697655,0.5536572521671737,220.8
accuracy,LC5,0.6268085455281511,0.6268085455281511,0.6268085455281511,0.6268085455281511,0.5225956396544632,0.5225956396544632,0.5225956396544632,0.5225956396544632
case,LC5,0.6846264721480393,0.6381309381237525,0.6574989385731947,500.8,0.5883558395872092,0.5305142857142857,0.55638888042409,125.2
control,LC5,0.5670959282795989,0.6119215889984007,0.5853219778109063,382.4,0.4538959594115054,0.5124561403508772,0.4800814807285502,95.6
macro avg,LC5,0.6258612002138191,0.6250262635610766,0.6214104581920505,883.2,0.5211258994993573,0.5214852130325814,0.5182351805763201,220.8
weighted avg,LC5,0.6337333276433992,0.6268085455281511,0.6262583167906585,883.2,0.5301557313989962,0.5225956396544632,0.5233081694090133,220.8
accuracy,LC6,0.637003377010705,0.637003377010705,0.637003377010705,0.637003377010705,0.5498601398601398,0.5498601398601398,0.5498601398601398,0.5498601398601398
case,LC6,0.7017817844729107,0.6314395209580839,0.6613380692544266,500.8,0.6187605916372163,0.5445587301587301,0.5766957434190032,125.2
control,LC6,0.5756808296337191,0.6443604500157205,0.6042994872567966,382.4,0.4814898570528482,0.5562938596491228,0.5135563691871997,95.6
macro avg,LC6,0.6387313070533149,0.6378999854869022,0.6328187782556116,883.2,0.5501252243450322,0.5504262949039265,0.5451260563031015,220.8
weighted avg,LC6,0.6471938648213973,0.637003377010705,0.6366316557624698,883.2,0.559322132916515,0.5498601398601398,0.5494669925789272,220.8
accuracy,LC7,0.6197916399768375,0.6197916399768375,0.6197916399768375,0.6197916399768375,0.5144919786096256,0.5144919786096256,0.5144919786096256,0.5144919786096256
case,LC7,0.7026288410784624,0.5759089820359281,0.6305190525280957,500.8,0.5823908568779876,0.4902095238095237,0.5278761320430146,125.2
control,LC7,0.5507884122366552,0.6773228712424644,0.6056153308924015,382.4,0.4526369965516537,0.5458552631578948,0.4915088741347777,95.6
macro avg,LC7,0.6267086266575588,0.6266159266391963,0.6180671917102487,883.2,0.5175139267148207,0.5180323934837092,0.5096925030888961,220.8
weighted avg,LC7,0.6368932856898317,0.6197916399768375,0.6197265206299475,883.2,0.5262196600167244,0.5144919786096256,0.5122303280585705,220.8
accuracy,LC8,0.6320165212177736,0.6320165212177736,0.6320165212177736,0.6320165212177736,0.5207815713698067,0.5207815713698067,0.5207815713698067,0.5207815713698067
case,LC8,0.6941458487707284,0.6281964071856287,0.6592470836205448,500.8,0.5811269588313885,0.5558984126984127,0.5679480409933333,125.2
control,LC8,0.5669229683524355,0.6370155701064892,0.5996401237290822,382.4,0.4492658563494512,0.4746710526315789,0.461288303627424,95.6
macro avg,LC8,0.6305344085615819,0.6326059886460589,0.6294436036748134,883.2,0.51519640759042,0.5152847326649959,0.5146181723103787,220.8
weighted avg,LC8,0.6390625736253994,0.6320165212177736,0.6334400974559431,883.2,0.5240491241478413,0.5207815713698067,0.5218005622033004,220.8
accuracy,LC9,0.6272635964395341,0.6272635964395341,0.6272635964395341,0.6272635964395341,0.5408144796380091,0.5408144796380091,0.5408144796380091,0.5408144796380091
case,LC9,0.693273071567029,0.6261756487025948,0.6535397632608065,500.8,0.6059899622650697,0.5431111111111111,0.567827404247103,125.2
control,LC9,0.5646199299682173,0.6287001216628163,0.590455598781802,382.4,0.4769054141029252,0.5375,0.5012915648665134,95.6
macro avg,LC9,0.6289465007676232,0.6274378851827056,0.6219976810213043,883.2,0.5414476881839975,0.5403055555555556,0.5345594845568082,220.8
weighted avg,LC9,0.6375722295301135,0.6272635964395341,0.6262244181892138,883.2,0.5500887679020774,0.5408144796380091,0.5390819352012428,220.8
